transaction_id,customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group,frequency_score,revenue_segment
1,1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,True,Express,True,True,14,Venmo,Fortnightly,Middle Age,26,Medium
2,2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,True,Express,True,True,2,Cash,Fortnightly,Young Adult,26,Medium
3,3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,True,Free Shipping,True,True,23,Credit Card,Weekly,Middle Age,52,High
4,4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,True,Next Day Air,True,True,49,PayPal,Weekly,Young Adult,52,High
5,5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,True,Free Shipping,True,True,31,PayPal,Annually,Middle Age,1,Medium
6,6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,True,Standard,True,True,14,Venmo,Weekly,Middle Age,52,Low
7,7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,True,Free Shipping,True,True,49,Cash,Quarterly,Senior,4,High
8,8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,True,Free Shipping,True,True,19,Credit Card,Weekly,Adult,52,Medium
9,9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,True,Express,True,True,8,Venmo,Annually,Adult,1,High
10,10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,True,2-Day Shipping,True,True,4,Cash,Quarterly,Middle Age,4,Medium
11,11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,True,Store Pickup,True,True,26,Bank Transfer,Bi-Weekly,Middle Age,26,Medium
12,12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,True,Store Pickup,True,True,10,Bank Transfer,Fortnightly,Adult,26,Medium
13,13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,True,Express,True,True,37,Venmo,Fortnightly,Senior,26,High
14,14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,True,Express,True,True,31,PayPal,Weekly,Senior,52,Medium
15,15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,True,Free Shipping,True,True,34,Debit Card,Weekly,Senior,52,Medium
16,16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,True,Store Pickup,True,True,8,PayPal,Monthly,Senior,12,High
17,17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,True,Next Day Air,True,True,44,Debit Card,Bi-Weekly,Young Adult,26,Medium
18,18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,True,2-Day Shipping,True,True,36,Venmo,Quarterly,Middle Age,4,Medium
19,19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,True,Free Shipping,True,True,17,Cash,Weekly,Middle Age,52,Medium
20,20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,True,Standard,True,True,46,Debit Card,Bi-Weekly,Senior,26,High
21,21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,True,Express,True,True,50,Cash,Every 3 Months,Young Adult,4,Medium
22,22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,True,Store Pickup,True,True,22,Debit Card,Quarterly,Adult,4,Medium
23,23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,True,Store Pickup,True,True,32,Debit Card,Annually,Middle Age,1,Medium
24,24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,True,Express,True,True,40,Credit Card,Weekly,Adult,52,High
25,25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,True,Store Pickup,True,True,16,Debit Card,Weekly,Young Adult,52,Low
26,26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,True,Express,True,True,14,PayPal,Annually,Young Adult,1,Low
27,27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,True,Next Day Air,True,True,13,Credit Card,Annually,Adult,1,Low
28,28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,True,Next Day Air,True,True,7,Bank Transfer,Every 3 Months,Middle Age,4,Medium
29,29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,True,Free Shipping,True,True,41,PayPal,Every 3 Months,Middle Age,4,High
30,30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,True,Store Pickup,True,True,14,Credit Card,Weekly,Adult,52,Medium
31,31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,True,Standard,True,True,16,Credit Card,Monthly,Middle Age,12,Medium
32,32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,True,Store Pickup,True,True,45,Venmo,Monthly,Adult,12,High
33,33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,True,Free Shipping,True,True,37,Venmo,Annually,Adult,1,Medium
34,34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,True,Store Pickup,True,True,45,Cash,Quarterly,Middle Age,4,Medium
35,35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,True,2-Day Shipping,True,True,38,PayPal,Quarterly,Adult,4,High
36,36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,True,2-Day Shipping,True,True,48,Credit Card,Bi-Weekly,Middle Age,26,Medium
37,37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,True,Free Shipping,True,True,44,PayPal,Fortnightly,Adult,26,Medium
38,38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,True,Store Pickup,True,True,10,PayPal,Weekly,Adult,52,Medium
39,39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,True,2-Day Shipping,True,True,44,Venmo,Every 3 Months,Adult,4,Medium
40,40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,True,Express,True,True,18,Credit Card,Monthly,Senior,12,Medium
41,41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,True,Next Day Air,True,True,31,Debit Card,Quarterly,Senior,4,High
42,42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,True,Standard,True,True,40,Venmo,Annually,Senior,1,Medium
43,43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,True,Free Shipping,True,True,15,PayPal,Annually,Young Adult,1,High
44,44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,True,Store Pickup,True,True,19,PayPal,Fortnightly,Young Adult,26,Medium
45,45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,True,Free Shipping,True,True,45,PayPal,Weekly,Adult,52,Medium
